0 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
500 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
1000 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
1500 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
2000 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
2500 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
3000 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
3500 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
4000 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
4500 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
5000 15 790.3275608 408.9776182 1119.160328 824.162986 510.5713355 387.6779982 415.1151768 469.3348649 1149.413587 840.8920033 305.6940394 802.2031734 351.7962898 787.0639791 837.6090595 
